Address	Symbol	Comment	Block	Network	Position	Access	Instruction
I 2.0	Mnp Prog_M	Manipulo Programa Manual (42)	OB 1	1	2	reading	A
I 2.0	Mnp Prog_M	Manipulo Programa Manual (42)	OB 1	1	17	reading	ON
I 2.0	Mnp Prog_M	Manipulo Programa Manual (42)	OB 1	6	0	reading	O
I 2.0	Mnp Prog_M	Manipulo Programa Manual (42)	OB 1	6	1	reading	ON
I 2.1	Mnp Prog_T	Manipulo Programa Translacao (43)	OB 1	1	21	reading	A
I 2.1	Mnp Prog_T	Manipulo Programa Translacao (43)	OB 1	1	26	reading	ON
I 2.2	Mnp Prog_CT	Manipulo Prog. Passagens Translacao (44)	OB 1	1	30	reading	A
I 2.2	Mnp Prog_CT	Manipulo Prog. Passagens Translacao (44)	OB 1	1	34	reading	ON
I 2.3	Mnp Prog_C	Manipulo Programa Passagens (45)	OB 1	1	38	reading	A
I 2.3	Mnp Prog_C	Manipulo Programa Passagens (45)	OB 1	1	42	reading	ON
I 2.4	Mnp Right	Manipulo Translacao Direita (46)	OB 1	1	4	reading	AN
I 2.4	Mnp Right	Manipulo Translacao Direita (46)	PB 11	1	32	reading	O
I 2.4	Mnp Right	Manipulo Translacao Direita (46)	PB 41	1	3	reading	A
I 2.4	Mnp Right	Manipulo Translacao Direita (46)	PB 41	1	16	reading	O
I 2.4	Mnp Right	Manipulo Translacao Direita (46)	FB 15	3	1	reading	O
I 2.5	Mnp Left	Manipulo Translacao Esquerda (47)	OB 1	1	5	reading	AN
I 2.5	Mnp Left	Manipulo Translacao Esquerda (47)	PB 11	1	33	reading	O
I 2.5	Mnp Left	Manipulo Translacao Esquerda (47)	PB 41	1	7	reading	A
I 2.5	Mnp Left	Manipulo Translacao Esquerda (47)	PB 41	1	17	reading	O
I 2.5	Mnp Left	Manipulo Translacao Esquerda (47)	FB 15	3	2	reading	O
I 2.6	Mnp Front	Manipulo Avanco (48)	OB 1	1	6	reading	AN
I 2.6	Mnp Front	Manipulo Avanco (48)	PB 11	1	3	reading	O
I 2.6	Mnp Front	Manipulo Avanco (48)	PB 21	1	16	reading	A
I 2.6	Mnp Front	Manipulo Avanco (48)	PB 21	1	23	reading	A
I 2.6	Mnp Front	Manipulo Avanco (48)	PB 21	1	41	reading	O
I 2.6	Mnp Front	Manipulo Avanco (48)	FB 15	2	1	reading	O
I 2.7	Mnp Back	Manipulo Recuo  (49)	OB 1	1	7	reading	AN
I 2.7	Mnp Back	Manipulo Recuo  (49)	OB 1	10	16	reading	A
I 2.7	Mnp Back	Manipulo Recuo  (49)	PB 11	1	4	reading	O
I 2.7	Mnp Back	Manipulo Recuo  (49)	PB 21	1	26	reading	A
I 2.7	Mnp Back	Manipulo Recuo  (49)	PB 21	1	34	reading	A
I 2.7	Mnp Back	Manipulo Recuo  (49)	PB 21	1	42	reading	O
I 2.7	Mnp Back	Manipulo Recuo  (49)	FB 15	2	2	reading	O
I 3.0	Mnp Down	Manipulo Baixar (51)	OB 1	1	8	reading	AN
I 3.0	Mnp Down	Manipulo Baixar (51)	PB 11	1	19	reading	O
I 3.0	Mnp Down	Manipulo Baixar (51)	PB 31	1	6	reading	A
I 3.0	Mnp Down	Manipulo Baixar (51)	PB 31	1	19	reading	O
